feature,feature_set,family,football_meaning,mathematical_definition,required_raw_data,cross_club_availability,research_importance
avg_touch_x,EXISTING_GENERIC_15,spatial,Average on-ball location along attacking direction,Mean x over located on-ball proxy events,Event locations and attacking-direction normalization,Leverkusen exact; Real/Chelsea unknown,Core location signal
avg_touch_y,EXISTING_GENERIC_15,spatial,Average lateral on-ball location,Mean y over located on-ball proxy events,Event locations and pitch orientation,Leverkusen exact; Real/Chelsea unknown,Core location signal
halfspace_share,EXISTING_GENERIC_15,spatial,Share of located actions in halfspaces,Count(20<=y<40 or 60<=y<80)/located events,Event locations and normalized pitch,Leverkusen exact; Real/Chelsea unknown,Tests between-line/halfspace tendency
passes_p90,EXISTING_GENERIC_15,reception,Passing involvement per 90,Pass attempts*90/minutes,Pass events and minutes,Leverkusen exact; Real/Chelsea unknown,Measures linking volume but not receptions directly
forward_pass_rate,EXISTING_GENERIC_15,progression,Share of passes moving forward,Forward pass attempts/all pass attempts,Pass endpoints and direction,Leverkusen exact; Real/Chelsea unknown,Progression tendency
progressive_passes_p90,EXISTING_GENERIC_15,progression,Progressive passing volume,Completed passes with delta-x>=10*90/minutes,Pass endpoints and completion,Leverkusen exact; Real/Chelsea unknown,Progression signal
progressive_carries_p90,EXISTING_GENERIC_15,progression,Progressive carrying volume,Carries with delta-x>=10*90/minutes,Carry endpoints and minutes,Leverkusen exact; Real/Chelsea unknown,Progression signal
final_third_entries_p90,EXISTING_GENERIC_15,threat,Advancement into final third,Completed pass/carry crossing x=200/3*90/minutes,Pass/carry endpoints and minutes,Leverkusen exact; Real/Chelsea unknown,Attacking territory signal
penalty_area_entries_p90,EXISTING_GENERIC_15,threat,Advancement into penalty area,Completed pass/carry entering proportional box*90/minutes,Pass/carry endpoints and box geometry,Leverkusen exact; Real/Chelsea unknown,Box involvement signal
shot_assists_p90,EXISTING_GENERIC_15,creation,Creation leading to shots,Shot-assist passes*90/minutes,Provider shot-assist flag and minutes,Leverkusen exact; Real/Chelsea unknown,Chance creation signal
xg_p90,EXISTING_GENERIC_15,threat,Shot threat value,Sum provider xG*90/minutes,Shots with provider xG and minutes,Leverkusen exact; Real/Chelsea unknown,Threat signal
pressures_p90,EXISTING_GENERIC_15,defensive/transition,Defensive pressure activity,Pressure events*90/minutes,Pressure events and minutes,Leverkusen exact; Real/Chelsea unknown,Transition/defensive context
recoveries_p90,EXISTING_GENERIC_15,defensive/transition,Recovery activity,Recovery events*90/minutes,Recovery events and minutes,Leverkusen exact; Real/Chelsea unknown,Transition context
tackles_p90,EXISTING_GENERIC_15,defensive/transition,Tackle activity,Tackle subtype events*90/minutes,Duel subtype events and minutes,Leverkusen exact; Real/Chelsea unknown,Defensive context
interceptions_p90,EXISTING_GENERIC_15,defensive/transition,Interception activity,Interceptions*90/minutes,Interception events and minutes,Leverkusen exact; Real/Chelsea unknown,Defensive context
receptions_p90,IDEAL_NO10_FEATURES,reception,How often a player receives the ball,Successful receptions*90/minutes,Explicit reception events or possession sequence attribution,No verified three-club source,Separates receiving from passing
reception_between_lines_share,IDEAL_NO10_FEATURES,reception,Share of receptions between midfield and front line,Receptions in a pre-registered between-lines zone/located receptions,Reception locations and pitch zones,No verified three-club source,Direct No.10 reception concept
progressive_pass_receipts_p90,IDEAL_NO10_FEATURES,progression,Receiving progressive passes,Progressive pass receipts*90/minutes,Pass endpoints plus receiver identity and minutes,No verified three-club source,Links reception to progression
key_passes_p90,IDEAL_NO10_FEATURES,creation,Passes creating a shot,Key passes*90/minutes,Provider key-pass definition or verified derivation,No verified three-club source,Creation beyond shot assists
final_third_receptions_p90,IDEAL_NO10_FEATURES,threat,Receiving in final third,Final-third receptions*90/minutes,Reception locations and final-third geometry,No verified three-club source,Attacking involvement
shots_p90,IDEAL_NO10_FEATURES,threat,Shot involvement,Shots*90/minutes,Shot events and minutes,No verified three-club source,Complements xG with volume
turnovers_p90,IDEAL_NO10_FEATURES,defensive/transition,Possession losses under pressure,Turnovers*90/minutes,Possession-chain and turnover events,No verified three-club source,Transition cost/context
transition_carries_p90,IDEAL_NO10_FEATURES,defensive/transition,Carrying after regain or before opponent rest defence,Qualifying transition carries*90/minutes,Possession transitions,No verified three-club source,Transition role context
nearest_defender_distance_at_reception,IDEAL_NO10_FEATURES,spatial-context,Space available at receipt,Distance to nearest opponent at reception,Tracking/360 opponent locations synchronized to reception,Requires 360/tracking; all external clubs unknown,Tests space without calling it causality
local_defensive_density,IDEAL_NO10_FEATURES,spatial-context,Opponent density around receipt,Opponent count within pre-registered radius at reception,Tracking/360 opponent locations,Requires 360/tracking; all external clubs unknown,Contextualizes receptions
available_space_at_reception,IDEAL_NO10_FEATURES,spatial-context,Open space around receiver,Area or Voronoi space available at reception,Tracking/360 player locations,Requires tracking; all external clubs unknown,Ideal spatial context
line_breaking_reception_p90,IDEAL_NO10_FEATURES,spatial-context,Receipts that break a defensive line,Line-crossing reception count*90/minutes,Tracking/360 plus defensive-line inference,Requires tracking; all external clubs unknown,Ideal No.10 pattern feature
