"field","schema","type","required","description"
"schema_version","both","string","YES","Version of proposed internal schema; this document is design only."
"record_id","both","string","YES","Unique namespaced source record ID; never reuse provider IDs across providers."
"match_id","both","string","YES","Namespaced match ID; cross-provider equivalence requires verified match mapping."
"period","both","integer|null","YES","Period 1/2/3/4; null if unknown; preserve period even when timestamps reset."
"timestamp","both","float|null","YES","Seconds since period start; null when alignment is unverified; never silently use clip time."
"source_timestamp","both","string|null","YES","Unmodified provider timestamp to make conversion auditable."
"source_timebase","both","string","YES","Provider convention or UNKNOWN; distinguishes match clock; period clock; source frames."
"source_frame","both","integer|null","YES","Original source frame or image index; null for event-only data."
"clip_id","both","string|null","YES","Namespaced clip ID; null for complete-match event source."
"clip_timestamp","both","float|null","YES","Elapsed clip seconds where video exists; not substituted for match timestamp."
"clip_offset_seconds","both","float|null","YES","Verified alignment offset within period; null until anchored."
"team_id","both","string|null","YES","Verified namespaced identity; unknown team remains null."
"team_label","both","string|null","YES","Clip-scoped class such as left/right; separate from persistent team_id."
"player_id","both","string|null","YES","Verified provider/roster identity; null for anonymous predictions."
"player_name","both","string|null","YES","Only from confirmed roster mapping; null is valid for first MVP."
"source","both","string","YES","Dataset/provider/source release, e.g. statsbomb_open or soccernet_gsr."
"source_method","both","string","YES","Document method: provider_event; event_freeze_frame; reference_annotation; optical_tracking; broadcast_detection; extrapolated; manual_annotation."
"source_record_id","both","string|null","YES","Original event/image/tracking row identifier; preserve joins."
"source_url","both","string","YES","Official source or rights-holder inventory URL."
"source_version","both","string","YES","Release/commit/API schema version; UNKNOWN until verified."
"source_checksum","both","string|null","YES","Source-file checksum once acquired; null in unavailable data."
"license_reference","both","string","YES","Versioned agreement/license reference; UNKNOWN must block study use."
"coordinate_system","both","string","YES","Name native units/origin/axis orientation/direction; not an implied universal pitch."
"coordinate_unit","both","string","YES","metre; normalized_0_1; normalized_0_100; provider_120_80; UNKNOWN. Numeric ranges are coordinates, not scores."
"pitch_length_m","both","float|null","YES","Actual or explicitly documented model length; null if unknown; no hidden 105 m assumption."
"pitch_width_m","both","float|null","YES","Actual or documented model width; null if unknown."
"attacking_direction","both","string","YES","positive_x; negative_x; UNKNOWN, scoped to team and period."
"transform_id","both","string|null","YES","Versioned coordinate conversion/calibration reference; preserve native coordinates separately."
"confidence","both","enum","YES","LOW/MEDIUM/HIGH/UNKNOWN from documented review rules; never a fabricated numeric confidence score."
"coordinate_confidence","both","enum","YES","LOW/MEDIUM/HIGH/UNKNOWN; independent of identity confidence."
"identity_confidence","both","enum","YES","LOW/MEDIUM/HIGH/UNKNOWN; cannot assign HIGH just because track_id is stable."
"calibration_error","both","float|null","YES","Measured held-out landmark error for relevant frame/window; null if unmeasured or not applicable; never zero by default."
"calibration_error_unit","both","string|null","YES","pixels or metres; must accompany numeric calibration_error."
"calibration_method","both","string|null","YES","Algorithm/manual procedure and version; null for provider event coordinates with no supplied calibration."
"visible_fraction","both","float|null","YES","Measured usable visible duration divided by eligible target duration in coverage_window; range 0..1; null for unknown. Not confidence."
"coverage_window","both","string|null","YES","Exact period/time boundaries and inclusion rule defining visible_fraction denominator."
"quality_flags","both","list[string]","YES","Reasons such as occlusion; offscreen; cut; replay; identity_ambiguous; calibration_failed; extrapolated; source_error_unknown."
"uncertainty_note","both","string","YES","Explain unknown or not-applicable quality values and reference measurement protocol."
"study_eligible","both","enum","YES","YES/NO/UNKNOWN; rights or required identity/coordinate uncertainty blocks inclusion."
"frame","tracking","integer|null","YES","Source frame for tracking; null allowed for StatsBomb event snapshots that lack video frame."
"frame_rate","tracking","float|null","YES","Verified source fps; null for event-triggered snapshots; never densify snapshots into trajectories."
"track_id","tracking","string|null","YES","Clip/segment-scoped trajectory ID; null if snapshot has no persistent identity."
"segment_id","tracking","string|null","YES","Contiguous camera segment; tracks reset on cuts; null for native provider event snapshot."
"x","tracking","float|null","YES","Ground position in declared coordinate system; null if not measured; no zero filling."
"y","tracking","float|null","YES","Ground position in same system; x/y must be both finite or both null."
"visible","tracking","boolean|null","YES","Whether object was within observable view; null if source does not report it."
"detected","tracking","boolean|null","YES","True for actual detections; false for extrapolated records; null when unknown. Distinct from visibility."
"visible_polygon","tracking","array[point]|null","YES","Observable ground region used for neighbourhood completeness; null if unavailable."
"object_type","tracking","string","YES","player; goalkeeper; referee; ball; other; UNKNOWN; ball identity is not player identity."
"event_id","event","string","YES","Namespaced event ID; enables source-verified freeze-frame/event joins."
"event_type","event","string","YES","Raw or explicitly mapped taxonomy; record definitions version; no inferred events from proximity alone."
"event_definition_version","event","string","YES","Provider definition/version or reviewed annotation protocol; UNKNOWN prevents exact compatibility."
"start_x","event","float|null","YES","Event origin in coordinate_system; null if absent."
"start_y","event","float|null","YES","Event origin y; coordinate pair completeness required."
"end_x","event","float|null","YES","Pass/carry endpoint when present; null when absent/not applicable."
"end_y","event","float|null","YES","Endpoint y; no fabricated zeros."
"outcome","event","string|null","NO","Provider outcome required for completed-pass eligibility when such features are evaluated."
"recipient_player_id","event","string|null","NO","Verified recipient; null if unobserved."
"qualifiers","event","object|null","NO","Unmodified source qualifiers such as shot_assist/xG; never substitute incompatible provider values."
"event_annotation_method","event","string|null","YES","Provider_event/manual_reviewed/estimated/UNKNOWN; label estimates distinctly."
