feature,group,unit,definition,in_role_vector,missing_policy,season_aggregation,scaler,definition_version
avg_touch_x,spatial,0–100,"Mean located on-ball proxy x; event-weighted, attacking direction",True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
avg_touch_y,spatial,0–100,Mean located on-ball proxy y; 0 = attacking left,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
halfspace_share,spatial,share,Located proxy events with 20<=y<40 or 60<=y<80 / all located proxy events,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
passes_p90,involvement,count/90min,All PASS attempts *90 / known match minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
forward_pass_rate,progression,share,Forward PASS attempts / all PASS attempts; NULL if missing endpoints or no passes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
progressive_passes_p90,progression,count/90min,Completed PASS with normalized delta-x>=10 *90 / minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
progressive_carries_p90,progression,count/90min,CARRY with normalized delta-x>=10 *90 / minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
final_third_entries_p90,progression,count/90min,Completed PASS or CARRY crossing from x<200/3 to x>=200/3 *90 / minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
penalty_area_entries_p90,progression,count/90min,Completed PASS or CARRY entering existing proportional box *90 / minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
shot_assists_p90,creation,count/90min,Raw StatsBomb pass.shot_assist=true count *90 / minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
xg_p90,attacking,xG/90min,Sum raw StatsBomb shot.statsbomb_xg *90 / minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
pressures_p90,defensive,count/90min,"PRESSURE events *90 / minutes, not successful pressures",True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
recoveries_p90,defensive,count/90min,"RECOVERY events *90 / minutes, not success rate",True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
tackles_p90,defensive,count/90min,Duel subtype Tackle events *90 / minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
interceptions_p90,defensive,count/90min,INTERCEPTION events *90 / minutes,True,NULL preserved; incomplete rows excluded from model,match-minute-weighted mean,StandardScaler; eligible match rows; population variance,event-mvp-v1 + team-role-v1
