"problem","pipeline_stage","classification","mitigation","notes"
"Footage processing rights","acquisition","MUST SOLVE","Obtain explicit research/processing/derived-output rights and match manifest","Viewing access alone does not establish reuse permission."
"Camera pan and zoom","calibration","MUST SOLVE","Short main-camera segments; recalibration during motion; reject unreliable frames","A fixed homography cannot handle a moving camera."
"Cuts and replays","selection","MUST SOLVE","Manual exclusion; new segment and track IDs at cuts","Automatic classification CAN DEFER."
"Off-screen target and missing off-camera information","coverage","MUST SOLVE","Preserve visibility and missing values; report full-phase and selected denominators","Never treat inferred unseen players as measured."
"Occlusion","tracking","MUST SOLVE","Flag gaps and uncertain associations; split ambiguous tracks","Long-gap re-identification CAN DEFER."
"Within-clip identity switches","tracking","MUST SOLVE","Review tracklets; count switches; split ambiguous identities","Stable track_id differs from real player identity."
"Team classification","team assignment","MUST SOLVE","Manual kit/team confirmation; UNKNOWN for ambiguity; separate referee/keeper","Camera-left/right labels are not persistent home/away IDs."
"Pitch calibration and ground contact","coordinates","MUST SOLVE","Distributed landmarks; held-out reprojection errors; foot point; finite transform checks","Reject degenerate views and flag airborne players."
"Frame/match-clock alignment","time","MUST SOLVE","Keep timebase/fps/period/clip offset and manual clock anchors","Frames alone cannot join sources or halves."
"Manual target identity","study identity","MUST SOLVE","Confirm candidate from lineup and footage before named-player aggregation","Not required for anonymous technical clip; required for study."
"Jersey recognition and automatic names","identity automation","CAN DEFER","Use manual roster mapping later","No OCR needed for first MVP."
"Ball detection and airborne trajectory","events","CAN DEFER","First MVP outputs players only","Needed for some later events; homography does not recover airborne ball."
"Possession and event reconstruction","events","CAN DEFER","Later use licensed events or reviewed manual labels with explicit definitions","Tracking does not prove passes/carries/shots/shot assists or StatsBomb xG."
"Cross-cut re-identification","tracking automation","CAN DEFER","Segment-scoped IDs; manual linking with evidence","No invented continuity."
"Neighbourhood completeness","spatial features","MUST SOLVE","Require visible support region; store visibility polygon","Nearest visible defender is an upper bound on true nearest distance; observed local density is a lower bound."
"Full 22-player off-screen reconstruction","whole-team reconstruction","NOT REQUIRED","Target and visible neighbours suffice for reduced local MVP","Full-team width/depth requires complete team support and must otherwise be withheld."
"Real-time throughput","runtime","NOT REQUIRED","Offline reviewed processing","No live product needed."
"3D body pose","pose","NOT REQUIRED","Ground-plane positions with measured uncertainty","Not necessary for proposed spatial study."
"Measurement method confounded with club","comparison","MUST SOLVE","Prefer common provider; otherwise common video and paired Leverkusen validation","Scaling cannot fix event-versus-time sampling bias."
