feature,current_definition,Leverkusen_status,Real_status,Chelsea_status,primary_cross_club_eligible,reason,source_notes
avg_touch_x,"Mean located on-ball proxy x; event-weighted, attacking direction",EXACT,UNKNOWN,UNKNOWN,NO,"Leverkusen definition and raw events are verified; external event and coordinate schemas are not verified.","src/analysis/team_role_space.py FEATURE_SPECS; local StatsBomb event data"
avg_touch_y,"Mean located on-ball proxy y; event-weighted, attacking direction (0 = attacking left)",EXACT,UNKNOWN,UNKNOWN,NO,"Same as avg_touch_x; coordinate orientation must be verified externally.","src/analysis/team_role_space.py FEATURE_SPECS"
halfspace_share,"Located proxy events with 20<=y<40 or 60<=y<80 divided by all located proxy events",EXACT,UNKNOWN,UNKNOWN,NO,"Requires compatible event locations and pitch normalization.","src/analysis/team_role_space.py FEATURE_SPECS"
passes_p90,"All PASS attempts * 90 divided by known match minutes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires event-level passes and comparable minutes.","src/analysis/team_role_space.py FEATURE_SPECS"
forward_pass_rate,"Forward PASS attempts divided by all PASS attempts; NULL if missing endpoints or no passes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires pass endpoints, direction convention and denominator handling.","src/analysis/team_role_space.py FEATURE_SPECS"
progressive_passes_p90,"Completed PASS with normalized delta-x >= 10 * 90 divided by minutes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires completed-pass endpoints and identical normalization.","src/analysis/team_role_space.py FEATURE_SPECS"
progressive_carries_p90,"CARRY with normalized delta-x >= 10 * 90 divided by minutes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires carry endpoints and identical normalization.","src/analysis/team_role_space.py FEATURE_SPECS"
final_third_entries_p90,"Completed PASS or CARRY crossing from x<200/3 to x>=200/3 * 90 divided by minutes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires compatible event types, endpoints and pitch scale.","src/analysis/team_role_space.py FEATURE_SPECS"
penalty_area_entries_p90,"Completed PASS or CARRY entering the existing proportional box * 90 divided by minutes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires compatible endpoints and penalty-area geometry.","src/analysis/team_role_space.py FEATURE_SPECS"
shot_assists_p90,"Raw StatsBomb pass.shot_assist=true count * 90 divided by minutes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires provider-specific shot-assist flag or a verified exact derivation.","src/analysis/team_role_space.py FEATURE_SPECS"
xg_p90,"Sum raw StatsBomb shot.statsbomb_xg * 90 divided by minutes",EXACT,UNKNOWN,UNKNOWN,NO,"StatsBomb xG is provider-specific and cannot be substituted by another xG model.","src/analysis/team_role_space.py FEATURE_SPECS"
pressures_p90,"PRESSURE events * 90 divided by minutes; not successful pressures",EXACT,UNKNOWN,UNKNOWN,NO,"Requires compatible pressure event definition.","src/analysis/team_role_space.py FEATURE_SPECS"
recoveries_p90,"RECOVERY events * 90 divided by minutes; not a success rate",EXACT,UNKNOWN,UNKNOWN,NO,"Requires compatible recovery event definition.","src/analysis/team_role_space.py FEATURE_SPECS"
tackles_p90,"Duel subtype Tackle events * 90 divided by minutes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires compatible duel subtype taxonomy.","src/analysis/team_role_space.py FEATURE_SPECS"
interceptions_p90,"INTERCEPTION events * 90 divided by minutes",EXACT,UNKNOWN,UNKNOWN,NO,"Requires compatible interception event definition.","src/analysis/team_role_space.py FEATURE_SPECS"
