feature,level,unit,definition,required_data,aggregation,missing_policy,tracking_or_event,version
match_id,player_frame,identifier/metadata,Namespaced source match identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
period,player_frame,identifier/metadata,Source period integer; windows never mix periods,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
timestamp_s,player_frame,identifier/metadata,Numeric source match-clock seconds; retained independently of period,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
frame_id,player_frame,identifier/metadata,Source frame integer; unique per match and period at one timestamp,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
team_id,player_frame,identifier/metadata,Namespaced verified team identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
player_id,player_frame,identifier/metadata,"Namespaced provider player identity, NULL for anonymous tracks",Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
track_id,player_frame,identifier/metadata,Namespaced trajectory identity scoped to source segment by adapter,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
x_m,player_frame,m on canonical pitch,"x in shared 105x68 stadium frame; x right, y down",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
y_m,player_frame,m on canonical pitch,"y in shared 105x68 stadium frame; x right, y down",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
visible,player_frame,identifier/metadata,Provider visibility flag; SkillCorner uses is_detected as on-screen proxy; unknown=NULL,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
detected,player_frame,identifier/metadata,Provider detection flag; false includes extrapolations; unknown=NULL,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
